"","date","station","do","do_sat","doy","year","month"
"166",1991-12-10,"3",NA,NA,344,1991,12
"167",1991-12-10,"6",NA,NA,344,1991,12
"168",1991-12-10,"9",NA,NA,344,1991,12
"169",1991-12-10,"13",NA,NA,344,1991,12
"170",1991-12-10,"15",NA,NA,344,1991,12
"171",1991-12-10,"18",NA,NA,344,1991,12
"172",1991-12-10,"21",NA,NA,344,1991,12
"173",1991-12-10,"22",NA,NA,344,1991,12
"174",1991-12-10,"24",NA,NA,344,1991,12
"175",1991-12-10,"27",NA,NA,344,1991,12
"176",1991-12-10,"30",NA,NA,344,1991,12
"177",1991-12-10,"649",NA,NA,344,1991,12
"178",1991-12-10,"657",NA,NA,344,1991,12
"179",1992-01-07,"3",NA,NA,7,1992,1
"180",1992-01-07,"6",NA,NA,7,1992,1
"181",1992-01-07,"9",NA,NA,7,1992,1
"182",1992-01-07,"13",NA,NA,7,1992,1
"183",1992-01-07,"15",NA,NA,7,1992,1
"184",1992-01-07,"18",NA,NA,7,1992,1
"185",1992-01-07,"21",NA,NA,7,1992,1
"186",1992-01-07,"22",NA,NA,7,1992,1
"187",1992-01-07,"24",NA,NA,7,1992,1
"188",1992-01-07,"27",NA,NA,7,1992,1
"189",1992-01-07,"30",NA,NA,7,1992,1
"190",1992-01-07,"649",NA,NA,7,1992,1
"191",1992-01-07,"657",NA,NA,7,1992,1
"192",1992-02-05,"3",NA,NA,36,1992,2
"193",1992-02-05,"6",NA,NA,36,1992,2
"194",1992-02-05,"9",NA,NA,36,1992,2
"195",1992-02-05,"13",NA,NA,36,1992,2
"196",1992-02-05,"15",NA,NA,36,1992,2
"197",1992-02-05,"18",NA,NA,36,1992,2
"198",1992-02-05,"21",NA,NA,36,1992,2
"199",1992-02-05,"22",NA,NA,36,1992,2
"200",1992-02-05,"24",NA,NA,36,1992,2
"201",1992-02-05,"27",NA,NA,36,1992,2
"202",1992-02-05,"30",NA,NA,36,1992,2
"203",1992-02-05,"649",NA,NA,36,1992,2
"204",1992-02-05,"657",NA,NA,36,1992,2
"205",1992-02-19,"3",NA,NA,50,1992,2
"206",1992-02-19,"6",NA,NA,50,1992,2
"207",1992-02-19,"9",NA,NA,50,1992,2
"208",1992-02-19,"13",NA,NA,50,1992,2
"209",1992-02-19,"15",NA,NA,50,1992,2
"210",1992-02-19,"18",NA,NA,50,1992,2
"211",1992-02-19,"21",NA,NA,50,1992,2
"212",1992-02-19,"22",NA,NA,50,1992,2
"213",1992-02-19,"24",NA,NA,50,1992,2
"214",1992-02-19,"27",NA,NA,50,1992,2
"215",1992-02-19,"30",NA,NA,50,1992,2
"216",1992-02-19,"32",NA,NA,50,1992,2
"217",1992-02-19,"649",NA,NA,50,1992,2
"218",1992-02-19,"657",NA,NA,50,1992,2
"219",1992-02-27,"27",NA,NA,58,1992,2
"220",1992-02-27,"30",NA,NA,58,1992,2
"221",1992-02-27,"32",NA,NA,58,1992,2
"222",1992-02-27,"34",NA,NA,58,1992,2
"223",1992-02-27,"36",NA,NA,58,1992,2
"224",1992-03-04,"3",NA,NA,64,1992,3
"225",1992-03-04,"6",NA,NA,64,1992,3
"226",1992-03-04,"9",NA,NA,64,1992,3
"227",1992-03-04,"13",NA,NA,64,1992,3
"228",1992-03-04,"15",NA,NA,64,1992,3
"229",1992-03-04,"18",NA,NA,64,1992,3
"230",1992-03-04,"21",NA,NA,64,1992,3
"231",1992-03-04,"22",NA,NA,64,1992,3
"232",1992-03-04,"24",NA,NA,64,1992,3
"233",1992-03-04,"27",NA,NA,64,1992,3
"234",1992-03-04,"30",NA,NA,64,1992,3
"235",1992-03-04,"32",NA,NA,64,1992,3
"236",1992-03-04,"649",NA,NA,64,1992,3
"237",1992-03-04,"657",NA,NA,64,1992,3
"238",1992-03-12,"24",NA,NA,72,1992,3
"239",1992-03-12,"27",NA,NA,72,1992,3
"240",1992-03-12,"30",NA,NA,72,1992,3
"241",1992-03-12,"32",NA,NA,72,1992,3
"242",1992-03-12,"34",NA,NA,72,1992,3
"243",1992-03-12,"36",NA,NA,72,1992,3
"244",1992-03-23,"21",NA,NA,83,1992,3
"245",1992-03-23,"22",NA,NA,83,1992,3
"246",1992-03-23,"24",NA,NA,83,1992,3
"247",1992-03-23,"27",NA,NA,83,1992,3
"248",1992-03-23,"30",NA,NA,83,1992,3
"249",1992-03-23,"32",NA,NA,83,1992,3
"250",1992-03-23,"34",NA,NA,83,1992,3
"251",1992-03-23,"36",NA,NA,83,1992,3
"252",1992-04-01,"21",NA,NA,92,1992,4
"253",1992-04-01,"22",NA,NA,92,1992,4
"254",1992-04-01,"24",NA,NA,92,1992,4
"255",1992-04-01,"27",NA,NA,92,1992,4
"256",1992-04-01,"30",NA,NA,92,1992,4
"257",1992-04-01,"32",NA,NA,92,1992,4
"258",1992-04-01,"34",NA,NA,92,1992,4
"259",1992-04-01,"36",NA,NA,92,1992,4
"260",1992-04-07,"3",NA,NA,98,1992,4
"261",1992-04-07,"6",NA,NA,98,1992,4
"262",1992-04-07,"9",NA,NA,98,1992,4
"263",1992-04-07,"13",NA,NA,98,1992,4
"264",1992-04-07,"15",NA,NA,98,1992,4
"265",1992-04-07,"18",NA,NA,98,1992,4
"266",1992-04-07,"649",NA,NA,98,1992,4
"267",1992-04-07,"657",NA,NA,98,1992,4
"268",1992-04-08,"21",NA,NA,99,1992,4
"269",1992-04-08,"22",NA,NA,99,1992,4
"270",1992-04-08,"24",NA,NA,99,1992,4
"271",1992-04-08,"27",NA,NA,99,1992,4
"272",1992-04-08,"30",NA,NA,99,1992,4
"273",1992-04-08,"32",NA,NA,99,1992,4
"274",1992-04-08,"34",NA,NA,99,1992,4
"275",1992-04-08,"36",NA,NA,99,1992,4
"276",1992-04-14,"24",NA,NA,105,1992,4
"277",1992-04-14,"27",NA,NA,105,1992,4
"278",1992-04-14,"30",NA,NA,105,1992,4
"279",1992-04-14,"32",NA,NA,105,1992,4
"280",1992-04-14,"34",NA,NA,105,1992,4
"281",1992-04-14,"36",NA,NA,105,1992,4
"282",1992-04-17,"30",NA,NA,108,1992,4
"283",1992-04-17,"32",NA,NA,108,1992,4
"284",1992-04-17,"34",NA,NA,108,1992,4
"285",1992-04-17,"36",NA,NA,108,1992,4
"286",1992-04-22,"21",NA,NA,113,1992,4
"287",1992-04-22,"22",NA,NA,113,1992,4
"288",1992-04-22,"24",NA,NA,113,1992,4
"289",1992-04-22,"27",NA,NA,113,1992,4
"290",1992-04-22,"30",NA,NA,113,1992,4
"291",1992-04-22,"32",NA,NA,113,1992,4
"292",1992-04-22,"34",NA,NA,113,1992,4
"293",1992-04-22,"36",NA,NA,113,1992,4
"294",1992-05-01,"21",NA,NA,122,1992,5
"295",1992-05-01,"22",NA,NA,122,1992,5
"296",1992-05-01,"24",NA,NA,122,1992,5
"297",1992-05-01,"27",NA,NA,122,1992,5
"298",1992-05-01,"30",NA,NA,122,1992,5
"299",1992-05-01,"32",NA,NA,122,1992,5
"300",1992-05-01,"34",NA,NA,122,1992,5
"301",1992-05-01,"36",NA,NA,122,1992,5
"302",1992-05-07,"21",NA,NA,128,1992,5
"303",1992-05-07,"22",NA,NA,128,1992,5
"304",1992-05-07,"24",NA,NA,128,1992,5
"305",1992-05-07,"27",NA,NA,128,1992,5
"306",1992-05-07,"30",NA,NA,128,1992,5
"307",1992-05-07,"32",NA,NA,128,1992,5
"308",1992-05-07,"34",NA,NA,128,1992,5
"309",1992-05-07,"36",NA,NA,128,1992,5
"310",1992-05-12,"30",NA,NA,133,1992,5
"311",1992-05-12,"32",NA,NA,133,1992,5
"312",1992-05-12,"34",NA,NA,133,1992,5
"313",1992-05-12,"36",NA,NA,133,1992,5
"314",1992-05-19,"24",NA,NA,140,1992,5
"315",1992-05-19,"27",NA,NA,140,1992,5
"316",1992-05-19,"30",NA,NA,140,1992,5
"317",1992-05-19,"32",NA,NA,140,1992,5
"318",1992-05-19,"34",NA,NA,140,1992,5
"319",1992-05-19,"36",NA,NA,140,1992,5
"320",1992-05-27,"3",NA,NA,148,1992,5
"321",1992-05-27,"6",NA,NA,148,1992,5
"322",1992-05-27,"9",NA,NA,148,1992,5
"323",1992-05-27,"13",NA,NA,148,1992,5
"324",1992-05-27,"15",NA,NA,148,1992,5
"325",1992-05-27,"18",NA,NA,148,1992,5
"326",1992-05-27,"649",NA,NA,148,1992,5
"327",1992-05-27,"657",NA,NA,148,1992,5
"328",1992-05-28,"21",NA,NA,149,1992,5
"329",1992-05-28,"22",NA,NA,149,1992,5
"330",1992-05-28,"24",NA,NA,149,1992,5
"331",1992-05-28,"27",NA,NA,149,1992,5
"332",1992-05-28,"30",NA,NA,149,1992,5
"333",1992-05-28,"32",NA,NA,149,1992,5
"334",1992-06-11,"30",NA,NA,163,1992,6
"335",1992-06-11,"32",NA,NA,163,1992,6
"336",1992-06-11,"34",NA,NA,163,1992,6
"337",1992-06-11,"36",NA,NA,163,1992,6
"338",1992-06-16,"3",NA,NA,168,1992,6
"339",1992-06-16,"6",NA,NA,168,1992,6
"340",1992-06-16,"9",NA,NA,168,1992,6
"341",1992-06-16,"13",NA,NA,168,1992,6
"342",1992-06-16,"15",NA,NA,168,1992,6
"343",1992-06-16,"18",NA,NA,168,1992,6
"344",1992-06-16,"21",NA,NA,168,1992,6
"345",1992-06-16,"22",NA,NA,168,1992,6
"346",1992-06-16,"24",NA,NA,168,1992,6
