"date","station","param","value"
1970-01-27,32,"T",12.9
1970-01-27,32,"P",7.7
1970-01-27,32,"SI",105
1970-01-27,34,"S",16.6
1970-01-27,34,"T",13
1970-01-27,34,"P",15.8
1970-01-27,34,"SI",100
1970-01-27,36,"S",15.6
1970-01-27,36,"T",13.2
1970-01-27,36,"P",23.6
1970-01-27,36,"SI",135
1970-02-12,32,"S",11.8
1970-02-12,32,"T",13.6
1970-02-12,34,"S",11.3
1970-02-12,34,"T",13.4
1970-02-12,36,"S",11
1970-02-12,36,"T",13.6
1970-06-06,21,"NO32",16.6
1970-06-06,21,"P",4.4
1970-06-06,30,"NO32",32.6
1970-06-06,30,"P",12.4
1970-06-06,30,"SI",84
1970-06-06,32,"S",26.5
1970-06-06,32,"T",21.4
1970-06-06,32,"NO32",39.1
1970-06-06,32,"P",16.6
1970-06-06,32,"SI",95
1970-06-06,34,"S",28.5
1970-06-06,34,"T",22.5
1970-06-06,34,"NO32",46.5
1970-06-06,34,"P",22.4
1970-06-06,34,"SI",99
1970-06-06,36,"T",21.5
1970-06-06,36,"NO32",56.8
1970-06-06,36,"P",29.9
1970-06-06,36,"SI",117
1970-07-31,21,"S",32.1
1970-07-31,21,"T",15.8
1970-07-31,21,"NO32",19.8
1970-07-31,21,"P",3.7
1970-07-31,22,"S",31.2
1970-07-31,22,"T",16.8
1970-07-31,24,"S",31.5
1970-07-31,24,"T",18.2
